point;time;cycle;step;soc;c-rate;temperature
0;0;1;1;1;-1;20
1;180;1;1;0.95;-1;20
2;360;1;1;0.9;-1;20
3;540.0000000000001;1;1;0.85;-1;20
4;720;1;1;0.8;-1;20
5;900;1;1;0.75;-1;20
6;1080.0000000000002;1;1;0.7;-1;20
7;1260.0000000000002;1;1;0.6499999999999999;-1;20
8;1440;1;1;0.6;-1;20
9;1620;1;1;0.55;-1;20
10;1800;1;1;0.5;-1;20
11;1980.0000000000002;1;2;0.5;0;20
12;2160.0000000000005;1;2;0.5;0;20
13;2340;1;2;0.5;0;20
14;2520.0000000000005;1;2;0.5;0;20
15;2700;1;2;0.5;0;20
16;2880;1;2;0.5;0;20
17;3060.0000000000005;1;2;0.5;0;20
18;3240.0000000000005;1;2;0.5;0;20
19;3420.0000000000005;1;2;0.5;0;20
20;3600;1;2;0.5;0;20
21;3780;1;2;0.5;0;20
22;3960.0000000000005;1;2;0.5;0;20
23;4140.000000000001;1;2;0.5;0;20
24;4320.000000000001;1;2;0.5;0;20
25;4500;1;2;0.5;0;20
26;4680;1;2;0.5;0;20
27;4860;1;2;0.5;0;20
28;5040.000000000001;1;2;0.5;0;20
29;5220.000000000001;1;2;0.5;0;20
30;5400;1;2;0.5;0;20
31;5580;1;2;0.5;0;20
32;5760;1;3;0.5;-3;20
33;5940.000000000001;1;3;0.35;-3;20
34;6120.000000000001;1;4;0.35;3;20
35;6300.000000000001;1;4;0.5;3;20
36;6480.000000000001;1;5;0.5;0;20
37;6660.000000000001;1;5;0.5;0;20
38;6840.000000000001;1;5;0.5;0;20
39;7020.000000000001;1;5;0.5;0;20
40;7200;1;6;0.5;0.2;20
41;7379.999999999999;1;6;0.51;0.2;20
42;7560;1;6;0.52;0.2;20
43;7740;1;6;0.53;0.2;20
44;7920.000000000001;1;6;0.54;0.2;20
45;8100;1;6;0.55;0.2;20
46;8280;1;6;0.56;0.2;20
47;8460;1;6;0.5700000000000001;0.2;20
48;8640;1;6;0.5800000000000001;0.2;20
49;8820;1;6;0.59;0.2;20
50;9000;1;6;0.6;0.2;20
51;9180;1;6;0.61;0.2;20
52;9360;1;6;0.62;0.2;20
53;9540;1;6;0.63;0.2;20
54;9720;1;6;0.64;0.2;20
55;9900;1;6;0.65;0.2;20
56;10080;1;6;0.66;0.2;20
57;10260;1;6;0.67;0.2;20
58;10440;1;6;0.68;0.2;20
59;10620;1;6;0.6900000000000001;0.2;20
60;10800;1;6;0.7;0.2;20
61;10980;1;6;0.71;0.2;20
62;11160;1;6;0.72;0.2;20
63;11340.000000000002;1;6;0.73;0.2;20
64;11520;1;6;0.74;0.2;20
65;11700;1;6;0.75;0.2;20
66;11880;1;6;0.76;0.2;20
67;12060;1;6;0.77;0.2;20
68;12240.000000000002;1;6;0.78;0.2;20
69;12420;1;6;0.79;0.2;20
70;12600;1;6;0.8;0.2;20
71;12780;1;6;0.81;0.2;20
72;12960;1;6;0.8200000000000001;0.2;20
73;13140.000000000002;1;6;0.8300000000000001;0.2;20
74;13320;1;6;0.8400000000000001;0.2;20
75;13500;1;6;0.8500000000000001;0.2;20
76;13680;1;6;0.8600000000000001;0.2;20
77;13860;1;6;0.8700000000000001;0.2;20
78;14040.000000000002;1;6;0.8800000000000001;0.2;20
79;14220;1;6;0.8900000000000001;0.2;20
80;14400;1;6;0.9;0.2;20
81;14580.000000000002;1;6;0.9100000000000001;0.2;20
82;14759.999999999998;1;6;0.92;0.2;20
83;14940.000000000002;1;6;0.9299999999999999;0.2;20
84;15120;1;6;0.9400000000000001;0.2;20
85;15300;1;6;0.95;0.2;20
86;15480.000000000002;1;6;0.9600000000000001;0.2;20
87;15659.999999999998;1;6;0.97;0.2;20
88;15840.000000000002;1;6;0.9800000000000001;0.2;20
89;16020;1;6;0.99;0.2;20
90;16200;1;6;1;0.2;20
91;16380;1;7;1;0;20
92;16560;1;7;1;0;20
93;16739.999999999996;1;7;1;0;20
94;16920;1;7;1;0;20
95;17100;1;7;1;0;20
96;17280;1;7;1;0;20
97;17460;1;7;1;0;20
98;17639.999999999996;1;7;1;0;20
99;17820;1;7;1;0;20
100;18000;1;7;1;0;20
101;18180;1;7;1;0;20
102;18360;1;7;1;0;20
103;18540;1;7;1;0;20
104;18720;1;7;1;0;20
105;18900;1;7;1;0;20
106;19080;1;7;1;0;20
107;19260;1;7;1;0;20
108;19440;1;7;1;0;20
109;19620;1;7;1;0;20
110;19800;1;7;1;0;20
111;19980;1;7;1;0;20
